section,question_type,question_id,question_subject,question_original,question_lite,a0,a1,a2,a3,a4,a5,more_info_link
Data Acquisition and Ingest,RA,2.1.3.1,Completeness and correctness,"The repository has processes and mechanisms in place which verifies the deposited material for completeness and correctness. That is, the repository inspects data files to ensure that variables and values are accurate according to the documentation supplied; that variables and values are sufficiently labelled for reuse; and that variable names in a dataset match variable names in a codebook. Data can also be checked for completeness and correctness using checksums (or similar approaches). This is necessary in order to detect and correct errors in the material and/or potential transmission errors between the depositor and the repository.",,No awareness; no inspections of data. Data deposited without data inspection.,"Some awareness of data inspection; there are non-systematised (manual) checks of deposited material (e.g. checked for basic metadata completion; visual checks of data, etc.), but the procedures are ad hoc. There are no written procedures or process documents and there is a lack of mechanisms for detecting technical errors in deposit/transmission. There are no formalised processes and procedures for rectifying data and/or metadata.","There are non-systematised (manual) checks of deposited material in place; processes and procedures are repeated, but they are not formalised or documented. Rectifications are performed repeatedly, either by the repository or by returning data to depositor.","Systemised checks of all data and metadata are in place; procedures and processes defined and formalised in written documents. Functions and mechanisms are in place for rectifying data and metadata, including processes for contacting and/or returning data to depositor when necessary. Some processes may be automated.",All completeness and correctness checks and modifications are measured and registered; processes and procedures are reviewed and updated regularly. Automated processes are implemented where appropriate.,"All completeness and correctness checks and modifications are measured, registered and assessed regularly; processes and procedures are reviewed and updated regularly based on technology watch and formalised communication with Designated Community.",
Data Acquisition and Ingest,RA,2.1.3.2,Authenticity checks of deposited material,The repository have adequate specifications enabling the recognition (and parsing) of the material that is to be deposited. The repository must be able to determine what the contents of the deposited material are with regard to the technical construction of its components (its authenticity).Â,,No specifications; no awareness of authenticity checks.,"Awareness of the need to check the authenticity of the deposited material; some manual checks performed, but in an unsystematic/informal and ad hoc manner.","Material are checked for authenticity on a regular basis and follow a regular pattern, but mostly done manually and individually; there are no formalised process descriptions or procedures in place.",Deposited material are checked for authenticity; checks are done systematically and in an automated/semi-automated way; processes and procedures are formalised in written documents; documentation of the validity and authenticity of the object/material construction is provided.,Processes and procedures are aligned to strategies and policies; authentication checks are regularly reviewed and updated; authenticity checks are highly automated.,Checks and procedures are measured and regularly updated; processes and procedures are aligned to technology watch routines; full automation where possible.,
Data Acquisition and Ingest,RA,2.1.3.3,Quality control standards and reporting mechanisms,"There are quality control standards and reporting mechanisms in place to include details of how any data and metadata issues are resolved (e.g. data/information returned to the data provider for rectification, fixed by the repository, noted by quality flags in the data file, and/or included in the accompanying metadata.)",,No quality controls in place.,"No formal criteria exist, application of standards are applied inconsistently. There are no reporting mechanisms in place.","Quality controls reports are performed repeatedly on individual basis, but there is a lack of coordination and processes and mechanisms are not fully documented. Issues are resolved ad hoc.","Formal quality control standards and reporting mechanism are in place, and all issues are logged and resolved.",There are regular assessments and reviews of the quality control standards and reporting mechanisms; automation are implemented where appropriate.,All controls and reports are measured and regularly reviewed; processes and procedures are aligned to technology watch routines and changes are implemented accordingly; full automation where possible.,
"Data Preservation: storage, curation and planning",RA,2.2.1.1,Transfer to permanent storage,"The repository has mechanisms and functions in place for transferring the deposited data into the archive for permanent (long-term) storage (e.g. move to separate storage volumes and/or migrate the deposited material to preferred formats, etc.).",Are there adequate processes in place to support long-term preservation when ingesting data?,No transfer mechanisms in place; no functional differentiation between deposit (ingest) and storage.,"The ingest and preservation/storage processes are distinguished as two separate functions; deposited material are transferred to storage, but there are no written processes descriptions or procedures in place; most material is transferred as-is.","Most material is transferred to a separate preservation function; there is a distinction between curation (i.e. what to preserve, maintain and add value to) and storage (i.e. simple bit preservation); prioritised data are migrated to the repository's own preferred formats, and/or other non-proprietary/portable formats; processes are informal and there are no written procedures in place.","There are formalised processes and procedures in place for transferring data to permanent storage; roles and responsibilities are defined and connected to tasks; clear distinction between the different functions and mechanisms; procedures are available to users; explicit choices are made concerning data formats (open, portable, non-proprietary).",Tasks and processes are integrated into high level policies and objectives; there are regular reviews and updates of processes and procedures; staff training preservation procedures are in place; some automation may be in place.,"All tasks, processes and functions are monitored and measured; systemised reviews and updates of migration procedures based on technology watch and communication with, and outreach towards, Designated Community (e.g. preferred formats, etc.).",
"Data Preservation: storage, curation and planning",RA,2.2.1.2,Persistent identifiers (PIDs) / locators,The repository have mechanisms in place to ensure that metadata are consistently associated with (connected to) the data over time. This is necessary to ensure that all the archived information can be located and retrieved.,Are there persistent identifiers for the data?,No system for persistent identification.,"There is some awareness of the need for persistent identifiers and locators, but actions are sporadic and ad hoc; there are no formalised systems, processes or procedures in place.","Mechanisms and systems for identification and location are partly in place (e.g. there may be a certain directory structure or hierarchy to make the locating of data easier), but does not comply with formalised DOI systems; mechanisms are being repeatedly used, but there is lack of formalisation and written procedures.","There are mechanisms and systems in place to persistently identify and locate data and metadata (either by following external systems like DOI, or by internal PID systems); all processes and procedures are documented and formalised.",PID systems and locators are regularly reviewed and updated; mechanisms are aligned to higher level preservation goals and plans.,All mechanisms and functions are monitored and measured; there are systemised reviews and updates of PID systems based on technology watch.,
"Data Preservation: storage, curation and planning",RA,2.2.1.3,Backup and version control/change procedures,The repository has mechanisms and strategies for versioning/version control and backups.,Are there strategies for versioning and backup?,No versioning or backups.,Most material is stored as it was deposited; some deposited material is processed (through versioning) and backed up in separate volumes/drives; no formalised strategies or procedures in place.,"Deposited material is backed up and/or made into several versions (e.g. deposited version, preserved version, corrected version, etc.), but versioning procedures are performed on an ad hoc and individual basis; formalised processes, procedures and documentation are lacking.",All deposited material is processed and safely stored through version controls and backups; all processes and procedures are defined and formalised in written documentation.,There are regular reviews and updates of backup and version control processes and procedures; procedures are aligned with preservation plans,All procedures and functions are monitored and measured; there are systemised reviews and updates of backup and version control systems based on technology watch.,
"Data Preservation: storage, curation and planning",RA,2.2.1.4,Authentication measures,The repository has authentication mechanisms in place to safeguard that personnel cannot make changes to the data stored or (unintentionally) delete (part of) digital objects.,Is there protection for read and write access to the data?,No preservation authentication mechanisms in place.,Some awareness of the issue; authentication mechanisms are unorganised and there are no formalised processes in place.,"Some authentication and safeguard mechanisms are in place (e.g. access/edit rights are limited, roles and responsibilities are defined), but lacks formalisation.",Authentication measures and mechanisms are in place; formalised and defined in written documents; all roles and responsibilities are defined.,Regular reviews and updates of authentication mechanisms.,All authentication and safeguard mechanisms are systematically reviewed and updated based on technology watch and is aligned to wider repository preservation planning.,
"Data Preservation: storage, curation and planning",RA,2.2.2.1,Fixity checks,"The repository performs checks to verify that a digital object (data and/or metadata) has not been altered or corrupted (i.e., fixity checks, checksums to confirm that all copies are identical, etc.).",Are fixity checks done for the data?,No awareness of the issue; no checks performed,Fixity checks are performed ad hoc and on an individual basis; processes and procedures are not formalised or defined.,Fixity checks are repeatedly performed but there is a lack of coordination and documentation of actions and processes.,Fixity checks are performed on all data; processes and procedures are documented and formalised; fixity checks are partly of fully automated.,Fixity checks routines are regularly reviewed and updated.,Fixity checks are systematically reviewed and updated based on technology watch and preservation planning; high level of automation (fully automatised).,
"Data Preservation: storage, curation and planning",RA,2.2.2.2,Error detection / unwanted changes,"The repository has strategies / procedures for dealing with any errors detected during the integrity checks, and situations where unwanted changes to processed or stored data/metadata occur.",Are there strategies to deal with errors and unwanted changes to the data?,No awareness; no strategies or procedures in place.,Procedures for dealing with errors or unwanted changes are performed ad hoc and on an individual basis; processes and procedures are not formalised or defined.,Procedures for dealing with errors or unwanted changes are repeatedly performed but there is a lack of coordination and documentation of actions and processes.,Processes and procedures for dealing with error detections and unwanted changes are documented and formalised; processes are partly of fully automated.,Processes and procedures for dealing with error detections and unwanted changes are regularly reviewed and updated; some automation may be in place.,Processes and procedures are systematically reviewed and updated based on technology watch and preservation planning; high level of automation (fully automatised) where relevant.,
"Data Preservation: storage, curation and planning",RA,2.2.2.3,Metadata management,"The repository adds preservation metadata (or other administrative metadata) based on official metadata standards. Metadata are handled throughout the data lifecycle based on defined criteria to ensure that the relevance and understandability of data are maintained (for data users / Designated Community [maps to: Annex 2, section 1].",Is any preservation metadata added to the data?,No awareness; no metadata added.,Preservation metadata are added on an ad hoc basis; no formal metadata standards are being applied; no formal documentation of processes and procedures.,Routines for adding preservation metadata are repeatedly in use; metadata standards may be applied but there are no official statements or documentation of its use.,A written formal specification of routines for adding preservation metadata is explicitly defined (e.g. in a preservation policy); repository uses controlled vocabularies and metadata standards that are used and can be understood by Designated Community (e.g. DDI).,Usage of preservation metadata and metadata standards are regularly reviewed and updated; documentation and metadata processes and procedures are aligned with policies: regular reviews and assessments (of success) of preservation metadata routines.,Regular reviews and updates of processes and procedures based on feedback from designated communities; and on monitoring of technology (format/standards) and designated communities.,
"Data Preservation: storage, curation and planning",RA,2.2.2.4,Preservation policy,The repository uses a preservation policy to address and guide the data storage.,Do you have a digital preservation policy?,Not applicable; no awareness,There is no preservation policy where data storage is addressed; data storage processes are performed on an ad hoc basis. The repository deals with the data storage issues on a case-by-case basis.,"The preservation policy is not formally defined, but there are some repeatable procedures in place; data storage processes follow a regular pattern - they have developed to the stage where similar procedures are followed by different people undertaking the same task.",A preservation policy is defined and it is connected to specific processes and procedures.,The preservation policy is monitored and measured for compliance with processes and procedures; actions are taken where processes appear not to be working effectively or not to be in accordance with the policy.,"Processes and procedures are measured and assessed; processes, functions and mechanisms are under constant improvement and continuously integrated into the preservation policy.",
"Data Preservation: storage, curation and planning",RA,2.2.3.1,Evaluation of content and preservation environment,"The repository has mechanisms and functions in place to perform periodical evaluations of the contents and the general preservation environment of the archive. The evaluations can include risk analysis reports and the development of recommendations for archive processes, standards and policies.",Do you have any evaluation processes in place to monitor and review the preservation environment over time?,No evaluations of content.,"Low awareness; repository is in the content build-up phase rather than the evaluative phase; any evaluations that are done are performed irregularly by individuals, on an ad hoc basis.","Repository has established its main (types of) content; partial evaluations are performed repeatedly, but there are no formalised evaluation processes or procedures in place.","Evaluations are formalised and performed at regular intervals; evaluations are performed in line with formalised processes and procedures (e.g. checkpoint lists, schedules, etc.); all processes and procedures refers to and are in line with strategies and policies; recognised tools may be applied regularly (e.g. PLATO and/or DRAMBORA).","Evaluation processes and procedures are regularly reviewed and updated, and are coordinated with other preservation planning activities; content and the general preservation environment are subject to measurements and quantifications where relevant; staff training evaluations are in place.",Evaluative processes and procedures are subject to regular reviews and updates based on measurements and assessments; mechanisms in place for adopting results of technology watch; staff training routines are regularly reviewed and updated.,
"Data Preservation: storage, curation and planning",RA,2.2.3.2,Monitor technology,"The repository has functions and mechanisms in place responsible for tracking emerging digital technologies, information standards (data formats, metadata standards) and other relevant changes to software, hardware and best practices. This is to identify technologies and developments which could cause obsolescence in the repository's preservation environment. A role within the organisation is is responsible for monitoring and analysing developments in technology.",Are you able to monitor emerging technologies and best practice in order to continually support and enhance your preservation environment?,No monitoring.,"Ad hoc or irregular monitoring; no systematic approach, some monitoring performed by individuals; no formalised reporting, some staff communicate what they have found.","Monitoring performed regularly, but are not formally defined into specific monitoring activities and systems; some reporting but lacks formalisation.","Feedback accomplished through periodical surveys, formal review processes, and/or via community workshops or other formalised meeting points; systems for registering feedback are in place; outputs of monitoring are formally reported. A role is responsible for gathering, monitoring and analysing changes in technology and best practices.",Coordinated with other preservation planning activities and higher level strategies; regular reviews and updates of monitoring strategies.,"Periodical reviews and evaluations of surveys, review processes and feedback mechanisms; there are mechanisms in place for reporting and integrating the evaluation results into higher level preservation strategies.",
"Data Preservation: storage, curation and planning",RA,2.2.3.3,Preservation strategies,"The repository has in place documented preservation strategies that are relevant to its holdings. Preservation strategies will describe how the repository will act upon identified risks, as part of the preservation strategic plan. These preservation strategies and the preservation strategic plan will typically address the degradation of storage media, the obsolescence of media drives, and the obsolescence or inadequacy of data/metadata (including formats) as the knowledge base of the Designated Community changes, and safeguards against accidental or intentional digital corruption [ISO 16363].",Do you have ongoing preservation strategies? ,No preservation strategies in place.,"Informal, ad hoc 'contingency action points' are in place, but a full comprehensive strategy is lacking; action points are not formalised or connected to a policy.",Contingency action points have matured into a partial strategy; only partly formalised and documented.,"Fully formalised and documented preservation strategy in place; connected to preservation policies and repository strategies, and to processes and procedures.",Strategy is periodically reviewed and updated.,"Usage of strategy is measured and assessed; processes, functions and mechanisms are under constant improvement and continuously integrated into the strategy and the higher level policies.",
Access,RA,2.3.1.1,Access interfaces,"The repository provides one or more interfaces to the information holdings of the repository (note: â€œ...interfaces will normally be via computer network or [â€¦] links to an online service, but might also be implemented in the form of a walk-in facility, printed catalogue ordering service, or fax-back type serviceâ€ [Source: OAIS].Â",,No interfaces or contact points (repository is in the establishing phase).,"The repository may have an office or a walk-in facility that provides irregular and ad hoc assistance getting access to its information holdings; formalised access procedures and processes are lacking; few or none online interfaces are available, or they are â€˜hostileâ€™ to users.","Access is being provided repeatedly (e.g. through office hours, personal contact or online correspondence); some of the information holdings are available through online interfaces; awareness of accessibility and usability of interfaces is growing; part(s) of interface(s) are satisfactory, others parts are inadequate; lacks systematic approach and dedicated resources (staff, funding).",Online interfaces are in place; there is a systematic approach to the development of interfaces; focus on users and usability; sufficient resources and qualified personnel are in place; processes and procedures are formalised and documented.,Interfaces are regularly reviewed and updated; usage and access is measured and monitored.,"Surveys, review processes or other feedback mechanisms are in place; outputs of monitoring are formally reported; reporting are aligned to technology watch and are and integrated into higher level preservation strategies and policies.",
Access,RA,2.3.1.2,Searchable and indexed content,"The data and metadata holdings of the repository are searchable through indexed content (variables, abstracts, etc.). [maps to Annex 2, section 5]Â",,No search facilities; content is not indexed,"Some awareness of the need to index information; some content is indexed on an ad hoc basis, on the individual level; no formalised procedures or standards for indexing are implemented.","Much of the repository content is searchable, but information is unstructured; no formalised procedures or standards for indexing are implemented; single (local) language thesauruses may be in use.",All content is structured through standards and thesauruses (e.g. HASSET and/or ELSST) are used to index and search data and metadata holdings; processes and procedures are formalised and documented; usage of standards and thesauruses are explicitly defined; multi-lingual thesauruses in use; mechanisms in place to ensure that their local language(s) are maintained within the multi-lingual thesauruses.,"Search and indexing procedures are regularly measured, reviewed and updated.",Outputs of monitoring are formally reported; reporting are aligned to technology watch and communication with Designated Community; processes and procedures are integrated into higher level preservation strategies and policies.,
Access,RA,2.3.1.3,Downloadable data holdings,"The repository makes their data holdings downloadable through data gateways / interfaces. [maps to: Annex 2, section 4] [Annex 2, section 12] [Annex 2, section 13] [CESSDA Statutes, section 7]Â",,No data is downloadable.,"Repository is in the phase of selecting and acquiring data; limited availability of content, only parts of collection is made available for download.",Most data are downloadable through interfaces/gateways; downloads are un-administered and lacks reporting mechanisms.,All data holdings are downloadable through stable interfaces; any restrictions and condition on (re-)use of data formalised and documented; default position regarding downloadable publicly/government funded data is that it shall be openly accessible and free; all data are accessible for free for authenticated members from public research and education.,Downloads and download routines are regularly measured and assessed; procedures and processes are updated and reviewed.,The usage and success of download framework are continuously assessed and monitored; regular and formalised contact with relevant stakeholders; framework for downloads are regularly reviewed and updated based on technology watch and technology monitoring.,
Access,RA,2.3.1.4,Metadata harvesting,"The repository enables the harvesting of all their resource discovery metadata and relevant preservation metadata. [maps to: Annex 2, section 3] [Annex 2, section 12]",,No metadata harvesting enabled,Repository is in the phase of selecting and acquiring data; metadata is unstructured and has limited accessibility.,"Most metadata can be harvested, but protocols are not implemented (or are only partly implemented).",All metadata are harvestable; OAI-PMH / Dublin Core are implemented; metadata from publicly funded data are openly accessible and free; all metadata free for authenticated members from public research and education.,Metadata harvesting is measured and monitored; regular reviews of metadata protocols.,Outputs of monitoring are formally reported; reporting are aligned to technology watch and communication with users / Designated Community; metadata accessibility is integrated into higher level preservation strategies and policies.,
Access,RA,2.3.1.5,Data formats,The repository has an explicit data format strategy and provides data in formats that are used and understood by the Designated Community.,,No strategy for formats and standards.,"There is some awareness of the formats and standards that are used by Designated Community; the repository provides data in user-specified formats on an ad hoc basis, when enquired.",Some standards and formats are repeatedly in use; lacks a defined and explicit strategy; there are no lists of available formats.,A data format strategy is explicitly defined and formalised and communicated to users; data are provided in formats that are commonly in use and understood by users.,Data format usage and enquiries are measured and assessed; data format strategy is regularly reviewed and updated.,Data format strategy is regularly reviewed and updated based on technology watch and formalised communication with users / Designated Community; data format strategy is integrated into higher level data policies.,
Access,RA,2.3.1.6,Metadata standards,"The repository provides metadata in accordance with standards that are used and understood by the Designated Community [maps to Annex 2, section 1].Â",,No awareness; no strategy for metadata standards.,Some awareness of metadata standards; most of repository holdings lack a coherent metadata strategy.,Some metadata standards are repeatedly in use; lacks an explicit and formalised strategy.,Metadata are provided in accordance with standards that are used and understood by the Designated Community (e.g. DDI); metadata strategy is explicitly formalised and defined and communicated to the Designated Community.,Usage and enquiries concerning metadata are measured and assessed; metadata strategy is regularly reviewed and updated.,Metadata strategy is regularly reviewed and updated based on technology watch and formalised communication with users / Designated Community; metadata strategy is integrated into higher level data policies (open data policies).,
Access,RA,2.3.1.7,Access policy,"The repository uses an access policy to address and guide data and metadata access. [maps to Annex 2, section 13] [CESSDA Statutes, section 7]",,Not applicable; no awareness,There is some awareness of the need for an access policy; data access processes are performed on an ad hoc basis. The repository deals with access issues on a case-by-case basis.,"The access policy is not formally defined, but there are some repeatable procedures in place; data access processes follow a regular pattern - they have developed to the stage where similar procedures are followed by different people undertaking the same task.","An access policy is defined and is connected to specific processes and procedures; the policy is in conformance with the OECD recommendations and guidelines on data access (OECD Principles and Guidelines for Access to Research Data from Public Funding, OECD 2007).",The access policy is monitored and measured for compliance with processes and procedures; actions are taken where processes appear not to be working effectively or not to be in accordance with the policy.,Access policy is regularly reviewed and updated based on technology watch and formalised communication with users / Designated Community.,
Access,RA,2.3.2.1,"Failures, anomalies, system failures","The repository logs and reviews all errors, access management failures and anomalies (in order to identify security threats and access management system failures).Â",,No logs or reviews of failures.,"Some awareness of the need to handle and review access failures and anomalies; issues are solved and recorded on an ad hoc, case-by-case basis; no formalised procedures or logs/protocols are in place.","Failures and anomalies are repeatedly solved and recorded in specific ways, but there are no written procedures or process descriptions in place; logs may exists but they are incomplete and lacks a common, formalised framework.","All access management failures and anomalies are logged, recorded and reviewed in a systematic way; processes and procedures for error handling are formalised and documented.","All logs, processes, procedures and handling of anomalies and errors are regularly reviewed and updated.",All systems are regularly reviewed and updated; system checks and reviews should be able to identify possible security threats before they occur (predictive).,
Access,RA,2.3.2.2,Persistent identifiers (PIDs) / locators,"The repository uses externally visible, standardised persistent identifiers to ensure reliable tracing of data and metadata.Â",,No system or policy for persistent identification,"There is some awareness of the need for persistent identifiers and locators, but actions are sporadic and ad hoc; there are no formalised systems, processes or procedures in place.","Mechanisms and systems for identification and location are partly in place, but does not comply with formalised DOI systems; mechanisms are being repeatedly used, but there is lack of formalisation and written procedures.","There are mechanisms and systems in place for persistently identify and locate data and metadata (either by following external systems like DOI, or by internal PID systems); all processes and procedures are documented and formalised.",PID systems and locators are regularly reviewed and updated; mechanisms are aligned to higher level preservation goals and plans.,"All mechanisms and functions are monitored and measured; there are systemised reviews and updates of PID systems based on technology watch and formal, regular communication with Designated Community.",
Access,RA,2.3.2.3,Authentication and authorisation,The repository uses AAI (Authentication and Authorisation Infrastructure) or other direct or federated user authentication approaches to control access to data.,,No authentication approach in place.,"There is some awareness of the need to implement authentication approaches; access control is performed on an ad hoc, case-by-case basis.",An authentication infrastructure emerges by repeated use of authentication approaches; lacks standardisation and formalisation.,"The repository uses digital identities, identity management, authentication, authorisation to control access to data; AAI is formalised, systematised and documented.","All AAI mechanisms and functions are measured, assessed and regularly reviewed and updated.","All AAI mechanisms and functions are monitored and measured; there are systemised reviews and updates of PID systems based on technology watch and formal, regular communication with Designated Community and other relevant stakeholders.",
